factor_a,factor_b,corr,abs_corr
factor_opt_33_reinstatement_residual_vol_ratio_40_20,factor_opt_33_reinstatement_residual_vol_ratio_80_20,0.8406165808869747,0.8406165808869747
factor_opt_01_residual_volatility_w5,factor_opt_01_residual_volatility_w10,0.7824510386201835,0.7824510386201835
factor_opt_07_price_volume_deviation_vol_w15,factor_opt_13_main_fund_stability_w5,0.7753509881454929,0.7753509881454929
factor_add2_adj_05_f34_15_25_industry,factor_add2_adj_04_f34_10_30_industry,0.7292734545112733,0.7292734545112733
factor_opt_01_residual_volatility_w10,factor_opt_07_price_volume_deviation_vol_w15,0.6857750167145711,0.6857750167145711
factor_opt_01_residual_volatility_w5,factor_opt_13_main_fund_stability_w5,0.5992486723966111,0.5992486723966111
factor_opt_01_residual_volatility_w10,factor_opt_13_main_fund_stability_w5,0.5926141477025172,0.5926141477025172
factor_opt_01_residual_volatility_w5,factor_opt_07_price_volume_deviation_vol_w15,0.58038620474969,0.58038620474969
factor_opt_05_volume_price_divergence_cov_1_20,factor_opt_07_price_volume_deviation_vol_w15,0.5658574586248513,0.5658574586248513
factor_opt_34_reverse_vroc_rank_vol_cov_5_20,factor_add2_adj_04_f34_10_30_industry,0.48993586664432903,0.48993586664432903
factor_opt_05_volume_price_divergence_cov_1_20,factor_opt_13_main_fund_stability_w5,0.42884700273086873,0.42884700273086873
factor_opt_01_residual_volatility_w10,factor_opt_05_volume_price_divergence_cov_1_20,0.4281319965525134,0.4281319965525134
factor_opt_01_residual_volatility_w5,factor_opt_05_volume_price_divergence_cov_1_20,0.37616517543400046,0.37616517543400046
factor_opt_34_reverse_vroc_rank_vol_cov_5_20,factor_add2_adj_05_f34_15_25_industry,0.3598367292427584,0.3598367292427584
factor_opt_34_reverse_vroc_rank_vol_cov_5_20,factor_add2_adj_07_f18_decay30_industry,0.3489873614817517,0.3489873614817517
factor_opt_01_residual_volatility_w10,factor_opt_33_reinstatement_residual_vol_ratio_80_20,0.3429139886918376,0.3429139886918376
factor_opt_01_residual_volatility_w10,factor_opt_33_reinstatement_residual_vol_ratio_40_20,0.3415370909427942,0.3415370909427942
factor_opt_07_price_volume_deviation_vol_w15,factor_opt_34_reverse_vroc_rank_vol_cov_5_20,0.32569591976709045,0.32569591976709045
factor_opt_07_price_volume_deviation_vol_w15,factor_opt_33_reinstatement_residual_vol_ratio_40_20,0.3233889532518031,0.3233889532518031
factor_add2_adj_07_f18_decay30_industry,factor_add2_adj_04_f34_10_30_industry,0.31955646504289764,0.31955646504289764
factor_opt_07_price_volume_deviation_vol_w15,factor_opt_33_reinstatement_residual_vol_ratio_80_20,0.313004836374523,0.313004836374523
factor_add_06_quality_x_flow,factor_opt_07_price_volume_deviation_vol_w15,0.304678816541864,0.304678816541864
factor_opt_07_price_volume_deviation_vol_w15,factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5,0.2989979874907242,0.2989979874907242
factor_add2_adj_05_f34_15_25_industry,factor_add2_adj_07_f18_decay30_industry,0.2961122354413891,0.2961122354413891
factor_opt_01_residual_volatility_w10,factor_add2_adj_07_f18_decay30_industry,0.28934493801831374,0.28934493801831374
factor_opt_05_volume_price_divergence_cov_1_20,factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5,0.28432425469065237,0.28432425469065237
factor_opt_01_residual_volatility_w5,factor_opt_33_reinstatement_residual_vol_ratio_80_20,0.27829794206662317,0.27829794206662317
factor_opt_13_main_fund_stability_w5,factor_opt_33_reinstatement_residual_vol_ratio_40_20,0.2773694131469462,0.2773694131469462
factor_opt_01_residual_volatility_w5,factor_opt_33_reinstatement_residual_vol_ratio_40_20,0.27731271077257275,0.27731271077257275
factor_opt_07_price_volume_deviation_vol_w15,factor_add2_adj_07_f18_decay30_industry,0.27644746726399333,0.27644746726399333
factor_opt_05_volume_price_divergence_cov_1_20,factor_opt_34_reverse_vroc_rank_vol_cov_5_20,0.2716029932872613,0.2716029932872613
factor_opt_13_main_fund_stability_w5,factor_opt_33_reinstatement_residual_vol_ratio_80_20,0.2621447082594183,0.2621447082594183
factor_opt_01_residual_volatility_w10,factor_opt_34_reverse_vroc_rank_vol_cov_5_20,0.26022872716679935,0.26022872716679935
factor_opt_01_residual_volatility_w5,factor_add2_adj_07_f18_decay30_industry,0.25759374742917907,0.25759374742917907
factor_opt_01_residual_volatility_w5,factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5,0.254403200945343,0.254403200945343
factor_opt_01_residual_volatility_w10,factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5,0.2527891559560331,0.2527891559560331
factor_add_06_quality_x_flow,factor_opt_13_main_fund_stability_w5,0.2526703460061606,0.2526703460061606
factor_opt_07_price_volume_deviation_vol_w15,factor_add2_adj_04_f34_10_30_industry,0.24498016851776555,0.24498016851776555
factor_opt_34_reverse_vroc_rank_vol_cov_5_20,factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5,0.2373640616430992,0.2373640616430992
factor_opt_13_main_fund_stability_w5,factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5,0.23392733683906028,0.23392733683906028
factor_opt_33_reinstatement_residual_vol_ratio_80_20,factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5,0.23051778914240117,0.23051778914240117
factor_opt_33_reinstatement_residual_vol_ratio_40_20,factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5,0.22672312105427667,0.22672312105427667
factor_opt_05_volume_price_divergence_cov_1_20,factor_add2_adj_07_f18_decay30_industry,0.22578257926113438,0.22578257926113438
factor_opt_07_price_volume_deviation_vol_w15,factor_add2_adj_05_f34_15_25_industry,0.21593714994382554,0.21593714994382554
factor_opt_33_reinstatement_residual_vol_ratio_40_20,factor_add2_adj_04_f34_10_30_industry,0.20965640469143587,0.20965640469143587
factor_opt_33_reinstatement_residual_vol_ratio_80_20,factor_add2_adj_04_f34_10_30_industry,0.20701350724757508,0.20701350724757508
factor_opt_01_residual_volatility_w5,factor_opt_34_reverse_vroc_rank_vol_cov_5_20,0.19940984167708156,0.19940984167708156
factor_opt_13_main_fund_stability_w5,factor_add2_adj_07_f18_decay30_industry,0.19863680014283616,0.19863680014283616
factor_opt_05_volume_price_divergence_cov_1_20,factor_add2_adj_04_f34_10_30_industry,0.19856757016649962,0.19856757016649962
factor_opt_01_residual_volatility_w10,factor_add2_adj_05_f34_15_25_industry,0.19641826828238115,0.19641826828238115
factor_opt_07_price_volume_deviation_vol_w15,factor_opt_54_industry_fund_quality_reverse_inv,0.19512627874640115,0.19512627874640115
factor_opt_01_residual_volatility_w10,factor_add2_adj_04_f34_10_30_industry,0.19462233182013747,0.19462233182013747
factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5,factor_add2_adj_04_f34_10_30_industry,0.18139321877203662,0.18139321877203662
factor_opt_13_main_fund_stability_w5,factor_opt_34_reverse_vroc_rank_vol_cov_5_20,0.17999525516983814,0.17999525516983814
factor_opt_05_volume_price_divergence_cov_1_20,factor_add2_adj_05_f34_15_25_industry,0.1693001081227165,0.1693001081227165
factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5,factor_add2_adj_07_f18_decay30_industry,0.16639852397606877,0.16639852397606877
factor_add_06_quality_x_flow,factor_opt_01_residual_volatility_w10,0.16418670898057403,0.16418670898057403
factor_opt_01_residual_volatility_w5,factor_add2_adj_05_f34_15_25_industry,0.1561397095799764,0.1561397095799764
factor_opt_13_main_fund_stability_w5,factor_opt_54_industry_fund_quality_reverse_inv,0.1548370488734481,0.1548370488734481
factor_opt_13_main_fund_stability_w5,factor_add2_adj_04_f34_10_30_industry,0.1544616816102317,0.1544616816102317
factor_opt_05_volume_price_divergence_cov_1_20,factor_opt_33_reinstatement_residual_vol_ratio_80_20,0.15431580784042917,0.15431580784042917
factor_opt_01_residual_volatility_w5,factor_add2_adj_04_f34_10_30_industry,0.15343559295297932,0.15343559295297932
factor_opt_33_reinstatement_residual_vol_ratio_40_20,factor_add2_adj_05_f34_15_25_industry,0.14787622347345483,0.14787622347345483
